Participant,Posture,Direction,Range
13,Lying,Right,48.9132
13,Lying,Up,21.80104
13,Lying,Up,19.19114
13,Lying,Up,18.7228
13,Lying,DownLeft,26.7478
13,Lying,DownLeft,22.95442
13,Lying,DownLeft,21.17839
13,Lying,Left,50.21198
13,Lying,Left,53.41939
13,Lying,Left,52.66259
13,Lying,DownRight,26.15215
13,Lying,DownRight,23.26396
13,Lying,DownRight,23.77237
13,Lying,UpLeft,34.57012
13,Lying,UpLeft,34.87524
13,Lying,UpLeft,36.48652
14,Lying,UpRight,27.43368
14,Lying,UpRight,38.36085
14,Lying,UpRight,37.99037
14,Lying,Right,49.01257
14,Lying,Right,64.89323
14,Lying,Right,66.78634
14,Lying,Up,35.97327
14,Lying,Up,38.00153
14,Lying,Up,39.51653
14,Lying,DownLeft,54.75707
14,Lying,DownLeft,63.7688
14,Lying,DownLeft,70.17467
14,Lying,Left,54.26932
14,Lying,Left,53.77559
14,Lying,Left,60.42551
14,Lying,DownRight,63.63333
14,Lying,DownRight,58.00452
14,Lying,DownRight,62.66267
14,Lying,UpLeft,41.90546
14,Lying,UpLeft,44.0233
14,Lying,UpLeft,44.25363
14,Lying,Down,38.42773
14,Lying,Down,27.19589
14,Lying,Down,36.85265
15,Lying,Up,53.6076
15,Lying,Up,50.39023
15,Lying,Up,50.14996
15,Lying,DownLeft,98.58211
15,Lying,DownLeft,90.69058
15,Lying,DownLeft,87.00744
15,Lying,Left,65.93626
15,Lying,Left,62.8135
15,Lying,Left,67.63958
15,Lying,DownRight,99.88908
15,Lying,DownRight,92.88659
15,Lying,DownRight,89.48389
15,Lying,UpLeft,71.08415
15,Lying,UpLeft,62.81491
15,Lying,UpLeft,67.21557
15,Lying,Down,80.15475
15,Lying,Down,79.6264
15,Lying,Down,82.18103
15,Lying,UpRight,57.1384
15,Lying,UpRight,67.57731
15,Lying,UpRight,71.32809
15,Lying,Right,65.44509
15,Lying,Right,62.37548
15,Lying,Right,65.67355
16,Lying,DownRight,40.79608
16,Lying,DownRight,42.13455
16,Lying,DownRight,39.638
16,Lying,UpLeft,30.19989
16,Lying,UpLeft,30.85378
16,Lying,UpLeft,32.80493
16,Lying,Down,31.85169
16,Lying,Down,37.38659
16,Lying,Down,33.90484
16,Lying,UpRight,28.68091
16,Lying,UpRight,26.87005
16,Lying,UpRight,27.90506
16,Lying,Right,36.02751
16,Lying,Right,44.7314
16,Lying,Right,44.06808
16,Lying,Up,18.71538
16,Lying,Up,18.02124
16,Lying,Up,18.66286
16,Lying,DownLeft,35.95191
16,Lying,DownLeft,35.14088
16,Lying,DownLeft,39.32063
16,Lying,Left,34.80522
16,Lying,Left,37.89486
16,Lying,Left,37.67905
